"year","indicator","perspective","group","country","amount","unit"
"1990","Climate Change (Short-Term)","Consumption footprint","CH4","Albania",7.29905,"Million tonnes CO2 eq."
"1990","Climate Change (Short-Term)","Consumption footprint","CO2","Albania",12.41572,"Million tonnes CO2 eq."
"1990","Climate Change (Short-Term)","Consumption footprint","N2O","Albania",1.67831,"Million tonnes CO2 eq."
"1990","Climate Change (Short-Term)","Domestic production","CH4","Albania",4.10477,"Million tonnes CO2 eq."
"1990","Climate Change (Short-Term)","Domestic production","CO2","Albania",5.85387,"Million tonnes CO2 eq."
"1990","Climate Change (Short-Term)","Domestic production","N2O","Albania",1.11297,"Million tonnes CO2 eq."
"1991","Climate Change (Short-Term)","Consumption footprint","CH4","Albania",5.07329,"Million tonnes CO2 eq."
"1991","Climate Change (Short-Term)","Consumption footprint","CO2","Albania",4.12839,"Million tonnes CO2 eq."
"1991","Climate Change (Short-Term)","Consumption footprint","N2O","Albania",1.07719,"Million tonnes CO2 eq."
"1991","Climate Change (Short-Term)","Domestic production","CH4","Albania",3.85742,"Million tonnes CO2 eq."
"1991","Climate Change (Short-Term)","Domestic production","CO2","Albania",3.70667,"Million tonnes CO2 eq."
"1991","Climate Change (Short-Term)","Domestic production","N2O","Albania",0.8684,"Million tonnes CO2 eq."
"1992","Climate Change (Short-Term)","Consumption footprint","CH4","Albania",5.53537,"Million tonnes CO2 eq."
"1992","Climate Change (Short-Term)","Consumption footprint","CO2","Albania",3.53381,"Million tonnes CO2 eq."
"1992","Climate Change (Short-Term)","Consumption footprint","N2O","Albania",1.16583,"Million tonnes CO2 eq."
"1992","Climate Change (Short-Term)","Domestic production","CH4","Albania",3.64067,"Million tonnes CO2 eq."
"1992","Climate Change (Short-Term)","Domestic production","CO2","Albania",1.85802,"Million tonnes CO2 eq."
"1992","Climate Change (Short-Term)","Domestic production","N2O","Albania",0.82935,"Million tonnes CO2 eq."
"1993","Climate Change (Short-Term)","Consumption footprint","CH4","Albania",5.5363,"Million tonnes CO2 eq."
"1993","Climate Change (Short-Term)","Consumption footprint","CO2","Albania",3.06846,"Million tonnes CO2 eq."
"1993","Climate Change (Short-Term)","Consumption footprint","N2O","Albania",1.16344,"Million tonnes CO2 eq."
"1993","Climate Change (Short-Term)","Domestic production","CH4","Albania",3.76868,"Million tonnes CO2 eq."
"1993","Climate Change (Short-Term)","Domestic production","CO2","Albania",1.77031,"Million tonnes CO2 eq."
"1993","Climate Change (Short-Term)","Domestic production","N2O","Albania",0.89636,"Million tonnes CO2 eq."
"1994","Climate Change (Short-Term)","Consumption footprint","CH4","Albania",6.41388,"Million tonnes CO2 eq."
