"year","indicator","perspective","group","country","amount","unit"
"1990","Climate Change (Short-Term)","Consumption footprint","CH4","Angola",41.8594,"Million tonnes CO2 eq."
"1990","Climate Change (Short-Term)","Consumption footprint","CO2","Angola",19.05937,"Million tonnes CO2 eq."
"1990","Climate Change (Short-Term)","Consumption footprint","N2O","Angola",1.37165,"Million tonnes CO2 eq."
"1990","Climate Change (Short-Term)","Domestic production","CH4","Angola",47.49899,"Million tonnes CO2 eq."
"1990","Climate Change (Short-Term)","Domestic production","CO2","Angola",10.63332,"Million tonnes CO2 eq."
"1990","Climate Change (Short-Term)","Domestic production","N2O","Angola",0.47412,"Million tonnes CO2 eq."
"1991","Climate Change (Short-Term)","Consumption footprint","CH4","Angola",45.22945,"Million tonnes CO2 eq."
"1991","Climate Change (Short-Term)","Consumption footprint","CO2","Angola",14.08853,"Million tonnes CO2 eq."
"1991","Climate Change (Short-Term)","Consumption footprint","N2O","Angola",1.03398,"Million tonnes CO2 eq."
"1991","Climate Change (Short-Term)","Domestic production","CH4","Angola",50.35202,"Million tonnes CO2 eq."
"1991","Climate Change (Short-Term)","Domestic production","CO2","Angola",11.15786,"Million tonnes CO2 eq."
"1991","Climate Change (Short-Term)","Domestic production","N2O","Angola",0.48545,"Million tonnes CO2 eq."
"1992","Climate Change (Short-Term)","Consumption footprint","CH4","Angola",51.55486,"Million tonnes CO2 eq."
"1992","Climate Change (Short-Term)","Consumption footprint","CO2","Angola",23.81362,"Million tonnes CO2 eq."
"1992","Climate Change (Short-Term)","Consumption footprint","N2O","Angola",2.18998,"Million tonnes CO2 eq."
"1992","Climate Change (Short-Term)","Domestic production","CH4","Angola",53.21608,"Million tonnes CO2 eq."
"1992","Climate Change (Short-Term)","Domestic production","CO2","Angola",11.57674,"Million tonnes CO2 eq."
"1992","Climate Change (Short-Term)","Domestic production","N2O","Angola",0.498,"Million tonnes CO2 eq."
"1993","Climate Change (Short-Term)","Consumption footprint","CH4","Angola",45.63003,"Million tonnes CO2 eq."
"1993","Climate Change (Short-Term)","Consumption footprint","CO2","Angola",18.26761,"Million tonnes CO2 eq."
"1993","Climate Change (Short-Term)","Consumption footprint","N2O","Angola",1.46413,"Million tonnes CO2 eq."
"1993","Climate Change (Short-Term)","Domestic production","CH4","Angola",51.76217,"Million tonnes CO2 eq."
"1993","Climate Change (Short-Term)","Domestic production","CO2","Angola",11.69717,"Million tonnes CO2 eq."
"1993","Climate Change (Short-Term)","Domestic production","N2O","Angola",0.5085,"Million tonnes CO2 eq."
"1994","Climate Change (Short-Term)","Consumption footprint","CH4","Angola",26.98571,"Million tonnes CO2 eq."
"1994","Climate Change (Short-Term)","Consumption footprint","CO2","Angola",14.26749,"Million tonnes CO2 eq."
"1994","Climate Change (Short-Term)","Consumption footprint","N2O","Angola",1.40562,"Million tonnes CO2 eq."
"1994","Climate Change (Short-Term)","Domestic production","CH4","Angola",45.74032,"Million tonnes CO2 eq."
"1994","Climate Change (Short-Term)","Domestic production","CO2","Angola",10.93357,"Million tonnes CO2 eq."
"1994","Climate Change (Short-Term)","Domestic production","N2O","Angola",0.52527,"Million tonnes CO2 eq."
"1995","Climate Change (Short-Term)","Consumption footprint","CH4","Angola",33.71201,"Million tonnes CO2 eq."
"1995","Climate Change (Short-Term)","Consumption footprint","CO2","Angola",11.56836,"Million tonnes CO2 eq."
"1995","Climate Change (Short-Term)","Consumption footprint","N2O","Angola",0.86305,"Million tonnes CO2 eq."
"1995","Climate Change (Short-Term)","Domestic production","CH4","Angola",51.63395,"Million tonnes CO2 eq."
"1995","Climate Change (Short-Term)","Domestic production","CO2","Angola",12.37107,"Million tonnes CO2 eq."
"1995","Climate Change (Short-Term)","Domestic production","N2O","Angola",0.53223,"Million tonnes CO2 eq."
"1996","Climate Change (Short-Term)","Consumption footprint","CH4","Angola",36.90374,"Million tonnes CO2 eq."
"1996","Climate Change (Short-Term)","Consumption footprint","CO2","Angola",13.16419,"Million tonnes CO2 eq."
"1996","Climate Change (Short-Term)","Consumption footprint","N2O","Angola",0.88082,"Million tonnes CO2 eq."
"1996","Climate Change (Short-Term)","Domestic production","CH4","Angola",59.42991,"Million tonnes CO2 eq."
"1996","Climate Change (Short-Term)","Domestic production","CO2","Angola",14.86122,"Million tonnes CO2 eq."
"1996","Climate Change (Short-Term)","Domestic production","N2O","Angola",0.56201,"Million tonnes CO2 eq."
"1997","Climate Change (Short-Term)","Consumption footprint","CH4","Angola",47.08669,"Million tonnes CO2 eq."
"1997","Climate Change (Short-Term)","Consumption footprint","CO2","Angola",17.18451,"Million tonnes CO2 eq."
"1997","Climate Change (Short-Term)","Consumption footprint","N2O","Angola",1.07099,"Million tonnes CO2 eq."
"1997","Climate Change (Short-Term)","Domestic production","CH4","Angola",57.55777,"Million tonnes CO2 eq."
"1997","Climate Change (Short-Term)","Domestic production","CO2","Angola",15.58475,"Million tonnes CO2 eq."
"1997","Climate Change (Short-Term)","Domestic production","N2O","Angola",0.58588,"Million tonnes CO2 eq."
"1998","Climate Change (Short-Term)","Consumption footprint","CH4","Angola",45.80343,"Million tonnes CO2 eq."
"1998","Climate Change (Short-Term)","Consumption footprint","CO2","Angola",16.94395,"Million tonnes CO2 eq."
"1998","Climate Change (Short-Term)","Consumption footprint","N2O","Angola",0.99671,"Million tonnes CO2 eq."
"1998","Climate Change (Short-Term)","Domestic production","CH4","Angola",57.56425,"Million tonnes CO2 eq."
"1998","Climate Change (Short-Term)","Domestic production","CO2","Angola",16.13149,"Million tonnes CO2 eq."
"1998","Climate Change (Short-Term)","Domestic production","N2O","Angola",0.60656,"Million tonnes CO2 eq."
"1999","Climate Change (Short-Term)","Consumption footprint","CH4","Angola",39.14157,"Million tonnes CO2 eq."
"1999","Climate Change (Short-Term)","Consumption footprint","CO2","Angola",17.18845,"Million tonnes CO2 eq."
"1999","Climate Change (Short-Term)","Consumption footprint","N2O","Angola",1.10579,"Million tonnes CO2 eq."
"1999","Climate Change (Short-Term)","Domestic production","CH4","Angola",52.56253,"Million tonnes CO2 eq."
"1999","Climate Change (Short-Term)","Domestic production","CO2","Angola",16.87476,"Million tonnes CO2 eq."
"1999","Climate Change (Short-Term)","Domestic production","N2O","Angola",0.62982,"Million tonnes CO2 eq."
"2000","Climate Change (Short-Term)","Consumption footprint","CH4","Angola",32.59664,"Million tonnes CO2 eq."
"2000","Climate Change (Short-Term)","Consumption footprint","CO2","Angola",16.02457,"Million tonnes CO2 eq."
"2000","Climate Change (Short-Term)","Consumption footprint","N2O","Angola",1.22518,"Million tonnes CO2 eq."
"2000","Climate Change (Short-Term)","Domestic production","CH4","Angola",43.68731,"Million tonnes CO2 eq."
"2000","Climate Change (Short-Term)","Domestic production","CO2","Angola",15.56492,"Million tonnes CO2 eq."
"2000","Climate Change (Short-Term)","Domestic production","N2O","Angola",0.65477,"Million tonnes CO2 eq."
"2001","Climate Change (Short-Term)","Consumption footprint","CH4","Angola",30.63213,"Million tonnes CO2 eq."
"2001","Climate Change (Short-Term)","Consumption footprint","CO2","Angola",17.44715,"Million tonnes CO2 eq."
"2001","Climate Change (Short-Term)","Consumption footprint","N2O","Angola",1.50604,"Million tonnes CO2 eq."
"2001","Climate Change (Short-Term)","Domestic production","CH4","Angola",41.69267,"Million tonnes CO2 eq."
"2001","Climate Change (Short-Term)","Domestic production","CO2","Angola",15.11972,"Million tonnes CO2 eq."
"2001","Climate Change (Short-Term)","Domestic production","N2O","Angola",0.67416,"Million tonnes CO2 eq."
"2002","Climate Change (Short-Term)","Consumption footprint","CH4","Angola",30.14436,"Million tonnes CO2 eq."
"2002","Climate Change (Short-Term)","Consumption footprint","CO2","Angola",17.1364,"Million tonnes CO2 eq."
"2002","Climate Change (Short-Term)","Consumption footprint","N2O","Angola",1.28241,"Million tonnes CO2 eq."
