year;indicator;perspective;group;country;amount;unit;population;region;ocde
1990;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;14.90056;Million tonnes CO2 eq.;69.6928599;East Asia;no
1990;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;11.32448;Million tonnes CO2 eq.;69.6928599;East Asia;no
1990;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;2.75872;Million tonnes CO2 eq.;69.6928599;East Asia;no
1990;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;9.51227;Million tonnes CO2 eq.;69.6928599;East Asia;no
1990;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;2.31424;Million tonnes CO2 eq.;69.6928599;East Asia;no
1990;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;1.87809;Million tonnes CO2 eq.;69.6928599;East Asia;no
1991;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;13.38915;Million tonnes CO2 eq.;69.6928599;East Asia;no
1991;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;4.04907;Million tonnes CO2 eq.;69.6928599;East Asia;no
1991;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;2.35536;Million tonnes CO2 eq.;69.6928599;East Asia;no
1991;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;9.6995;Million tonnes CO2 eq.;69.6928599;East Asia;no
1991;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;2.25981;Million tonnes CO2 eq.;69.6928599;East Asia;no
1991;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;1.94657;Million tonnes CO2 eq.;69.6928599;East Asia;no
1992;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;15.15008;Million tonnes CO2 eq.;69.6928599;East Asia;no
1992;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;4.24182;Million tonnes CO2 eq.;69.6928599;East Asia;no
1992;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;2.43894;Million tonnes CO2 eq.;69.6928599;East Asia;no
1992;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;9.88154;Million tonnes CO2 eq.;69.6928599;East Asia;no
1992;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;1.56651;Million tonnes CO2 eq.;69.6928599;East Asia;no
1992;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;1.93061;Million tonnes CO2 eq.;69.6928599;East Asia;no
1993;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;15.53444;Million tonnes CO2 eq.;69.6928599;East Asia;no
1993;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;4.04586;Million tonnes CO2 eq.;69.6928599;East Asia;no
1993;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;2.41601;Million tonnes CO2 eq.;69.6928599;East Asia;no
1993;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;10.12187;Million tonnes CO2 eq.;69.6928599;East Asia;no
1993;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;1.43414;Million tonnes CO2 eq.;69.6928599;East Asia;no
1993;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;1.94647;Million tonnes CO2 eq.;69.6928599;East Asia;no
1994;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;15.17608;Million tonnes CO2 eq.;69.6928599;East Asia;no
1994;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;2.67081;Million tonnes CO2 eq.;69.6928599;East Asia;no
1994;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;2.36735;Million tonnes CO2 eq.;69.6928599;East Asia;no
1994;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;10.51756;Million tonnes CO2 eq.;69.6928599;East Asia;no
1994;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;1.20725;Million tonnes CO2 eq.;69.6928599;East Asia;no
1994;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;1.93059;Million tonnes CO2 eq.;69.6928599;East Asia;no
1995;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;15.43996;Million tonnes CO2 eq.;69.6928599;East Asia;no
1995;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;3.69564;Million tonnes CO2 eq.;69.6928599;East Asia;no
1995;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;2.18993;Million tonnes CO2 eq.;69.6928599;East Asia;no
1995;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;10.94652;Million tonnes CO2 eq.;69.6928599;East Asia;no
1995;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;1.07969;Million tonnes CO2 eq.;69.6928599;East Asia;no
1995;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;2.03511;Million tonnes CO2 eq.;69.6928599;East Asia;no
1996;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;15.46305;Million tonnes CO2 eq.;69.6928599;East Asia;no
1996;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;3.85955;Million tonnes CO2 eq.;69.6928599;East Asia;no
1996;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;2.24938;Million tonnes CO2 eq.;69.6928599;East Asia;no
1996;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;12.09696;Million tonnes CO2 eq.;69.6928599;East Asia;no
1996;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;1.09185;Million tonnes CO2 eq.;69.6928599;East Asia;no
1996;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;2.2315;Million tonnes CO2 eq.;69.6928599;East Asia;no
1997;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;16.41072;Million tonnes CO2 eq.;69.6928599;East Asia;no
1997;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;4.41414;Million tonnes CO2 eq.;69.6928599;East Asia;no
1997;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;2.39423;Million tonnes CO2 eq.;69.6928599;East Asia;no
1997;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;12.98469;Million tonnes CO2 eq.;69.6928599;East Asia;no
1997;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;1.07826;Million tonnes CO2 eq.;69.6928599;East Asia;no
1997;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;2.44488;Million tonnes CO2 eq.;69.6928599;East Asia;no
1998;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;18.53727;Million tonnes CO2 eq.;69.6928599;East Asia;no
1998;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;4.28652;Million tonnes CO2 eq.;69.6928599;East Asia;no
1998;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;2.87315;Million tonnes CO2 eq.;69.6928599;East Asia;no
1998;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;13.64024;Million tonnes CO2 eq.;69.6928599;East Asia;no
1998;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;1.09568;Million tonnes CO2 eq.;69.6928599;East Asia;no
1998;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;2.62347;Million tonnes CO2 eq.;69.6928599;East Asia;no
1999;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;17.62043;Million tonnes CO2 eq.;69.6928599;East Asia;no
1999;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;3.77139;Million tonnes CO2 eq.;69.6928599;East Asia;no
1999;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;2.90086;Million tonnes CO2 eq.;69.6928599;East Asia;no
1999;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;14.42538;Million tonnes CO2 eq.;69.6928599;East Asia;no
1999;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;1.04914;Million tonnes CO2 eq.;69.6928599;East Asia;no
1999;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;2.85919;Million tonnes CO2 eq.;69.6928599;East Asia;no
2000;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;18.72065;Million tonnes CO2 eq.;69.6928599;East Asia;no
2000;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;5.69087;Million tonnes CO2 eq.;69.6928599;East Asia;no
2000;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;2.97817;Million tonnes CO2 eq.;69.6928599;East Asia;no
2000;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;13.02064;Million tonnes CO2 eq.;69.6928599;East Asia;no
2000;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;1.04345;Million tonnes CO2 eq.;69.6928599;East Asia;no
2000;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;2.43219;Million tonnes CO2 eq.;69.6928599;East Asia;no
2001;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;19.94658;Million tonnes CO2 eq.;69.6928599;East Asia;no
2001;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;6.44481;Million tonnes CO2 eq.;69.6928599;East Asia;no
2001;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;3.07907;Million tonnes CO2 eq.;69.6928599;East Asia;no
2001;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;11.6329;Million tonnes CO2 eq.;69.6928599;East Asia;no
2001;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;0.92009;Million tonnes CO2 eq.;69.6928599;East Asia;no
2001;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;2.11506;Million tonnes CO2 eq.;69.6928599;East Asia;no
2002;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;22.31307;Million tonnes CO2 eq.;69.6928599;East Asia;no
2002;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;6.12362;Million tonnes CO2 eq.;69.6928599;East Asia;no
2002;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;3.53887;Million tonnes CO2 eq.;69.6928599;East Asia;no
2002;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;13.8863;Million tonnes CO2 eq.;69.6928599;East Asia;no
2002;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;0.80616;Million tonnes CO2 eq.;69.6928599;East Asia;no
2002;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;2.47724;Million tonnes CO2 eq.;69.6928599;East Asia;no
2003;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;24.13749;Million tonnes CO2 eq.;69.6928599;East Asia;no
2003;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;7.58362;Million tonnes CO2 eq.;69.6928599;East Asia;no
2003;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;3.66282;Million tonnes CO2 eq.;69.6928599;East Asia;no
2003;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;14.39472;Million tonnes CO2 eq.;69.6928599;East Asia;no
2003;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;0.63666;Million tonnes CO2 eq.;69.6928599;East Asia;no
2003;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;2.56886;Million tonnes CO2 eq.;69.6928599;East Asia;no
2004;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;21.06383;Million tonnes CO2 eq.;69.6928599;East Asia;no
2004;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;7.31794;Million tonnes CO2 eq.;69.6928599;East Asia;no
2004;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;3.40447;Million tonnes CO2 eq.;69.6928599;East Asia;no
2004;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;14.65252;Million tonnes CO2 eq.;69.6928599;East Asia;no
2004;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;0.72144;Million tonnes CO2 eq.;69.6928599;East Asia;no
2004;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;2.55695;Million tonnes CO2 eq.;69.6928599;East Asia;no
2005;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;20.42542;Million tonnes CO2 eq.;69.6928599;East Asia;no
2005;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;7.58637;Million tonnes CO2 eq.;69.6928599;East Asia;no
2005;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;3.27298;Million tonnes CO2 eq.;69.6928599;East Asia;no
2005;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;14.48208;Million tonnes CO2 eq.;69.6928599;East Asia;no
2005;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;1.01455;Million tonnes CO2 eq.;69.6928599;East Asia;no
2005;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;2.68432;Million tonnes CO2 eq.;69.6928599;East Asia;no
2006;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;19.8126;Million tonnes CO2 eq.;69.6928599;East Asia;no
2006;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;6.68881;Million tonnes CO2 eq.;69.6928599;East Asia;no
2006;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;3.32183;Million tonnes CO2 eq.;69.6928599;East Asia;no
2006;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;14.70889;Million tonnes CO2 eq.;69.6928599;East Asia;no
2006;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;1.10114;Million tonnes CO2 eq.;69.6928599;East Asia;no
2006;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;2.71742;Million tonnes CO2 eq.;69.6928599;East Asia;no
2007;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;19.73831;Million tonnes CO2 eq.;69.6928599;East Asia;no
2007;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;6.32935;Million tonnes CO2 eq.;69.6928599;East Asia;no
2007;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;3.23345;Million tonnes CO2 eq.;69.6928599;East Asia;no
2007;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;15.64896;Million tonnes CO2 eq.;69.6928599;East Asia;no
2007;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;1.14006;Million tonnes CO2 eq.;69.6928599;East Asia;no
2007;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;2.7152;Million tonnes CO2 eq.;69.6928599;East Asia;no
2008;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;19.17663;Million tonnes CO2 eq.;69.6928599;East Asia;no
2008;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;6.08983;Million tonnes CO2 eq.;69.6928599;East Asia;no
2008;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;3.04752;Million tonnes CO2 eq.;69.6928599;East Asia;no
2008;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;16.98922;Million tonnes CO2 eq.;69.6928599;East Asia;no
2008;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;2.56239;Million tonnes CO2 eq.;69.6928599;East Asia;no
2008;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;2.98109;Million tonnes CO2 eq.;69.6928599;East Asia;no
2009;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;19.77519;Million tonnes CO2 eq.;69.6928599;East Asia;no
2009;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;7.2448;Million tonnes CO2 eq.;69.6928599;East Asia;no
2009;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;3.49901;Million tonnes CO2 eq.;69.6928599;East Asia;no
2009;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;17.53333;Million tonnes CO2 eq.;69.6928599;East Asia;no
2009;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;3.97031;Million tonnes CO2 eq.;69.6928599;East Asia;no
2009;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;3.16083;Million tonnes CO2 eq.;69.6928599;East Asia;no
2010;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;25.61513;Million tonnes CO2 eq.;69.6928599;East Asia;no
2010;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;8.63197;Million tonnes CO2 eq.;69.6928599;East Asia;no
2010;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;4.689;Million tonnes CO2 eq.;69.6928599;East Asia;no
2010;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;20.02167;Million tonnes CO2 eq.;69.6928599;East Asia;no
2010;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;5.38852;Million tonnes CO2 eq.;69.6928599;East Asia;no
2010;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;3.53918;Million tonnes CO2 eq.;69.6928599;East Asia;no
2011;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;28.85936;Million tonnes CO2 eq.;69.6928599;East Asia;no
2011;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;10.00341;Million tonnes CO2 eq.;69.6928599;East Asia;no
2011;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;5.31536;Million tonnes CO2 eq.;69.6928599;East Asia;no
2011;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;20.41844;Million tonnes CO2 eq.;69.6928599;East Asia;no
2011;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;6.53275;Million tonnes CO2 eq.;69.6928599;East Asia;no
2011;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;3.62409;Million tonnes CO2 eq.;69.6928599;East Asia;no
2012;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;29.00499;Million tonnes CO2 eq.;69.6928599;East Asia;no
2012;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;13.20547;Million tonnes CO2 eq.;69.6928599;East Asia;no
2012;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;5.5205;Million tonnes CO2 eq.;69.6928599;East Asia;no
2012;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;20.13902;Million tonnes CO2 eq.;69.6928599;East Asia;no
2012;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;9.25588;Million tonnes CO2 eq.;69.6928599;East Asia;no
2012;Climate Change (Short-Term);Domestic production;N2O;Afghanistan;3.54939;Million tonnes CO2 eq.;69.6928599;East Asia;no
2013;Climate Change (Short-Term);Consumption footprint;CH4;Afghanistan;28.60015;Million tonnes CO2 eq.;69.6928599;East Asia;no
2013;Climate Change (Short-Term);Consumption footprint;CO2;Afghanistan;18.88935;Million tonnes CO2 eq.;69.6928599;East Asia;no
2013;Climate Change (Short-Term);Consumption footprint;N2O;Afghanistan;5.4714;Million tonnes CO2 eq.;69.6928599;East Asia;no
2013;Climate Change (Short-Term);Domestic production;CH4;Afghanistan;20.40672;Million tonnes CO2 eq.;69.6928599;East Asia;no
2013;Climate Change (Short-Term);Domestic production;CO2;Afghanistan;15.83716;Million tonnes CO2 eq.;69.6928599;East Asia;no
